Transaction number,Supplier,Amount,Service Area,Category,Transaction Date,Period,Sme,Costs split between Babergh and Mid Suffolk District Council,% transactions apportioned to Babergh District Council
21020248,Mixbrow Ltd,"6,605.50",Building Services Assets,Payments to Contractors,12/05/2025,202502,SML,N,
21020252,Surefire Services Ltd,550.00,Health & Safety and Fire PAC,Health and Safety Buildings,13/05/2025,202502,SML,N,
21020255,G4S Cash Solutions Ltd,"1,333.80",Car Parks,Contracted Services,30/04/2025,202502,LRG,N,
21020258,Binder Ltd,"5,980.00",Sewage Treatment Works,Sewage Treatment Works,14/05/2025,202502,SML,N,
21020259,West End Rehoming,811.48,Environmental Protection,Kennels Retainer,01/05/2025,202502,SML,N,
21020261,Hudson Media Partnership Ltd,417.50,Trades Team,Vehicles & Plant Repairs,14/05/2025,202502,SML,Y,48%
21020264,Cornerstone Barristers,"2,625.00",Heritage,Legal Expenses,22/04/2025,202502,SML,N,
21020265,Cedars Hotel Ltd,"58,110.00",Homelessness Private Sector,Bed & Breakfast Costs,05/05/2025,202502,SML,Y,50%
21020272,Hays Specialist Recruitment Ltd,185.48,HRA Strategic Property,Agency Staff,14/05/2025,202502,LRG,Y,80%
21020272,Hays Specialist Recruitment Ltd,"1,669.35",Asset Utilisation,Agency Staff,14/05/2025,202502,LRG,Y,80%
21020275,Tudor Environmental,502.63,Open Spaces,"Purchase of Equipment, Tools & Materials",09/05/2025,202502,SML,N,
21020276,EMP Drainage Ltd,"1,525.00",Building Services Assets,Surveys,08/05/2025,202502,SML,N,
21020278,Suffolk Doors & Windows Ltd,990.00,Building Services Assets,"Property Repairs, Maintenance & Alterations",14/05/2025,202502,SML,N,
21020281,Suffolk Doors & Windows Ltd,"8,725.00",Building Services Assets,"Property Repairs, Maintenance & Alterations",14/05/2025,202502,SML,N,
21020296,Central Tyre Ltd,586.55,Street and Major Road Cleansing,Vehicles & Plant Repairs,15/05/2025,202502,SML,N,
21020307,The Oyster Partnership Ltd,"1,749.92",Building Services Compliance,Agency Staff,14/05/2025,202502,SML,Y,52%
21020308,JTD Solutions Ltd,"5,390.00",Independent Living Service,Payments to Contractors,02/05/2025,202502,SML,N,
21020309,JTD Solutions Ltd,"2,450.00",Kingfisher Leisure Centre,External Consultants,02/05/2025,202502,SML,N,
21020309,JTD Solutions Ltd,"2,450.00",Building Services Assets,External Consultants,02/05/2025,202502,SML,N,
21020311,Pont Enterprises Ltd,"14,000.00",HRA Strategic Property,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21020312,Casanovas Recruitment Solutions Ltd,960.00,Financial Resources,Agency Staff,13/05/2025,202502,SML,Y,50%
21020315,Law Morgan Ltd T/A Morgan Law,"2,392.74",Financial Resources,Agency Staff,15/05/2025,202502,SML,Y,50%
21020327,A E White Surfacing,"5,345.00",Building Services Assets,Estate Maintenance,15/05/2025,202502,SML,N,
21020331,Aran Insulation Ltd,"3,565.50",Building Services Assets,"Property Repairs, Maintenance & Alterations",15/05/2025,202502,SML,N,
21020331,Aran Insulation Ltd,"3,967.32",Building Services Assets,Capital Improvements,15/05/2025,202502,SML,N,
21020332,Aran Insulation Ltd,150.00,Building Services Assets,"Property Repairs, Maintenance & Alterations",15/05/2025,202502,SML,N,
21020332,Aran Insulation Ltd,"3,215.14",Building Services Assets,Capital Improvements,15/05/2025,202502,SML,N,
21020335,Mansion House Publishing Ltd,548.25,Independent Living Service,"Publicity, Advertising & Marketing",14/05/2025,202502,SML,N,
21020344,Newsquest Media Group,545.28,Development Management,"Publicity, Advertising & Marketing",15/05/2025,202502,LRG,N,
21020347,Suffolk County Council,"1,200.00",Land Charges,Contracted Services,14/05/2025,202502,LRG,N,
21020348,Suffolk County Council,"2,650.00",Land Charges,Contracted Services,14/05/2025,202502,LRG,N,
21020349,Foster Property Maintenance Ltd,"6,131.51",Trades Team,"Property Repairs, Maintenance & Alterations",13/05/2025,202502,SML,N,
21020351,Embridge Consulting (UK) Ltd,"51,538.00",Financial Resources,Agency Staff,15/05/2025,202502,SML,Y,50%
21020358,Bucher Municipal Ltd,509.71,Street and Major Road Cleansing,Vehicles & Plant Repairs,01/05/2025,202502,LRG,N,
21020359,Bucher Municipal Ltd,818.48,Street and Major Road Cleansing,Vehicles & Plant Repairs,25/04/2025,202502,LRG,N,
21020360,Bucher Municipal Ltd,818.48,Street and Major Road Cleansing,Vehicles & Plant Repairs,01/05/2025,202502,LRG,N,
21020361,Bucher Municipal Ltd,509.71,Street and Major Road Cleansing,Vehicles & Plant Repairs,25/04/2025,202502,LRG,N,
21020372,L A C Cleaning Contractors Ltd,545.50,Other Temporary Accommodation,Contract Cleaning,16/05/2025,202502,SML,N,
21020374,Suffolk County Council,"20,906.25",Garden Waste,Waste disposal costs,14/05/2025,202502,LRG,N,
21020374,Suffolk County Council,"24,631.19",Domestic Waste,Waste disposal costs,14/05/2025,202502,LRG,N,
21020379,Woolpit Childcare Centre Ltd(Woolpitarc),"1,626.40",Holiday Activity Fund,"Grants, Contributions & Donations",09/05/2025,202502,SML,N,
21020380,Serco Ltd,650.00,Domestic Waste,Refuse Contract,14/05/2025,202502,LRG,Y,50%
21020381,Serco Ltd,"17,930.00",Joint Waste Contract,Hire of Transport,14/05/2025,202502,LRG,Y,50%
21020383,Abbeycroft Leisure,586.66,Holiday Activity Fund,"Grants, Contributions & Donations",16/05/2025,202502,LRG,Y,43%
21020384,D W Adams Ltd,"5,893.00",Building Services Assets,Payments to Contractors,16/05/2025,202502,SML,N,
21020390,Serco Ltd,878.48,Street and Major Road Cleansing,Vehicles & Plant Repairs,14/05/2025,202502,LRG,N,
21020392,Bucher Municipal Ltd,522.73,Street and Major Road Cleansing,Vehicles & Plant Repairs,15/05/2025,202502,LRG,N,
21020393,T H Moss And Sons Ltd,"1,800.00",Trades Team,"Property Repairs, Maintenance & Alterations",16/05/2025,202502,SML,N,
21020394,T H Moss And Sons Ltd,"4,998.00",Trades Team,"Property Repairs, Maintenance & Alterations",16/05/2025,202502,SML,N,
21020395,T H Moss And Sons Ltd,720.00,Trades Team,"Property Repairs, Maintenance & Alterations",16/05/2025,202502,SML,N,
21020398,T H Moss And Sons Ltd,"1,365.00",Trades Team,"Property Repairs, Maintenance & Alterations",16/05/2025,202502,SML,N,
21020399,T H Moss And Sons Ltd,"1,982.00",Trades Team,"Property Repairs, Maintenance & Alterations",16/05/2025,202502,SML,N,
21020401,Serco Ltd,"9,561.44",Street and Major Road Cleansing,Vehicle & Plant Fuel,14/05/2025,202502,LRG,Y,50%
21020401,Serco Ltd,"9,561.46",Open Spaces,Vehicle & Plant Fuel,14/05/2025,202502,LRG,Y,50%
21020402,Hudson Media Partnership Ltd,877.50,Trades Team,Vehicles & Plant Repairs,16/05/2025,202502,SML,Y,48%
21020403,Rapid Response Maintenance Ltd,"1,721.65",Trades Team,"Property Repairs, Maintenance & Alterations",09/05/2025,202502,SML,N,
21020404,Aquajet Cleaning Equipment Ltd,840.00,Creeting Road Depot,Grounds & Site Maintenance,16/05/2025,202502,SML,Y,50%
21020405,MB Trees (East Anglia) Ltd,980.00,Public Tree Programme,Tree felling/maintenance,16/05/2025,202502,SML,N,
21020409,Reed Specialist Recruitment Ltd,960.15,Financial Resources,Agency Staff,16/05/2025,202502,LRG,Y,50%
21020411,T H Moss And Sons Ltd,"4,069.45",Trades Team,"Property Repairs, Maintenance & Alterations",16/05/2025,202502,SML,N,
21020433,Suffolk County Council,"8,571.43",Joint Waste Contract,Subscriptions (non staff),16/05/2025,202502,LRG,N,
21020434,Reefer Properties Ltd,800.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020435,Paul Wright & Co,795.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020436,Aran Insulation Ltd,"1,115.00",Trades Team,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020438,Suffolk County Council,"8,571.43",Joint Waste Contract,Subscriptions (non staff),16/05/2025,202502,LRG,N,
21020439,Insight Technology (Suffolk) Ltd,"2,646.20",Health & Safety and Fire PAC,Health and Safety Buildings,17/05/2025,202502,SML,N,
21020440,Rapid Response Maintenance Ltd,"1,416.32",Trades Team,"Property Repairs, Maintenance & Alterations",03/04/2025,202502,SML,N,
21020447,Pightles Developments Ltd,975.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020448,A E White Surfacing,"4,640.00",Building Services Assets,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020449,The Letting Department,880.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020450,UK100 Cities Network Limited,"3,750.00","Strategic Policy, Performance and Insight",Subscriptions (non staff),19/05/2025,202502,SML,Y,50%
21020451,LCD Estates Ltd,665.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020452,T H Moss And Sons Ltd,798.68,Trades Team,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020453,Paul Wright & Co,577.50,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020455,LAC Services (East Anglia) Ltd,"4,406.80",Building Services Compliance,Capital Improvements,19/05/2025,202502,SML,N,
21020456,LAC Services (East Anglia) Ltd,"4,406.80",Building Services Compliance,Capital Improvements,19/05/2025,202502,SML,N,
21020457,EDF Energy,585.38,Creeting Road Depot,Electricity,15/05/2025,202502,LRG,Y,50%
21020457,EDF Energy,"2,435.00",Electric Vehicle (EV) Charge Points,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,207.56,Headquarters General,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,41.21,Open Spaces,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,"1,395.93",Other HRA Temp Accommodation,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,229.39,Other Temporary Accommodation,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,-71.69,Public Conveniences,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,7.36,Recycling Centre,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,452.14,Sewage Treatment Works,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,"11,605.91",Sheltered Accommodation,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,140.26,Tacon Close Eye Touch Down Point (TDP),Electricity,15/05/2025,202502,LRG,Y,50%
21020457,EDF Energy,622.11,Temporary Accommodation,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,"1,500.71",Tenancy Services,Electricity,15/05/2025,202502,LRG,N,
21020457,EDF Energy,"2,543.51",Wingfield Barns,Electricity,15/05/2025,202502,LRG,N,
21020458,LAC Services (East Anglia) Ltd,"4,406.80",Building Services Compliance,Capital Improvements,19/05/2025,202502,SML,N,
21020459,Private Landlord,600.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,STR,N,
21020461,Hamilton Smith Lettings,"5,250.00",Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020462,Private Landlord,"4,700.00",Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020463,Abbeycroft Leisure,"1,387.42",Holiday Activity Fund,"Grants, Contributions & Donations",19/05/2025,202502,LRG,Y,50%
21020464,Private Landlord,700.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,STR,N,
21020467,Private Landlord,669.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,STR,N,
21020471,Mercury Building Services Ltd,"9,752.00",Kingfisher Leisure Centre,Payments to Contractors,19/05/2025,202502,SML,N,
21020472,Rapid Response Maintenance Ltd,"4,645.00",Voids,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21020474,ARK Consultancy Limited,"5,805.46",Tenancy Services,Consultancy Services,19/05/2025,202502,LRG,N,
21020475,Binder Ltd,502.50,Sewage Treatment Works,Contracted Services,19/05/2025,202502,SML,N,
21020477,Private Landlord,720.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,STR,N,
21020478,Alder Family Properties Limited,"2,500.00",Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020479,Private Landlord,595.00,Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,STR,N,
21020483,Newsquest Media Group,511.20,Development Management,"Publicity, Advertising & Marketing",19/05/2025,202502,LRG,N,
21020484,GCS Compliance Ltd,912.00,Building Services Compliance,Contract: Heating,19/05/2025,202502,SML,N,
21020485,Suffolk Doors & Windows Ltd,"1,150.00",Building Services Assets,Payments to Contractors,19/05/2025,202502,SML,N,
21020489,Suffolk Doors & Windows Ltd,"1,350.00",Building Services Assets,Payments to Contractors,19/05/2025,202502,SML,N,
21020490,Yellow Homes Ltd,"1,785.00",Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020492,JPK Trade Supplies Ltd,"1,400.00",Street and Major Road Cleansing,Cleaning Materials,15/05/2025,202502,SML,N,
21020493,Whybrow Property Solutions Ltd,951.00,Building Services Assets,Payments to Contractors,16/05/2025,202502,SML,N,
21020495,L A C Cleaning Contractors Ltd,"1,140.50",Voids,"Property Repairs, Maintenance & Alterations",20/05/2025,202502,SML,N,
21020496,Stannah Stairlifts Ltd,"3,284.00",Building Services Assets,Payments to Contractors,20/05/2025,202502,LRG,N,
21020497,Rapid Response Maintenance Ltd,"1,307.99",Trades Team,"Property Repairs, Maintenance & Alterations",12/05/2025,202502,SML,N,
21020498,Mixbrow Ltd,"8,156.88",Building Services Assets,Payments to Contractors,16/05/2025,202502,SML,N,
21020499,Ernest Doe & Sons Ltd,"2,073.00",Open Spaces,"Purchase of Equipment, Tools & Materials",20/05/2025,202502,LRG,N,
21020500,Mixbrow Ltd,"2,722.70",Building Services Assets,Payments to Contractors,09/05/2025,202502,SML,N,
21020501,Mixbrow Ltd,"1,904.71",Voids,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020502,Mixbrow Ltd,"10,094.55",Voids,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020503,Vivid Resourcing,"4,950.00",Financial Resources,Agency Staff,20/05/2025,202502,SML,Y,50%
21020504,Mixbrow Ltd,"4,289.53",Voids,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020505,Mixbrow Ltd,"12,836.28",Voids,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020507,Hamilton Smith Lettings,"2,000.00",Guaranteed Rent Scheme,Building Rents,19/05/2025,202502,SML,N,
21020515,Rapid Response Maintenance Ltd,"1,261.91",Trades Team,"Property Repairs, Maintenance & Alterations",14/05/2025,202502,SML,N,
21020516,G2 Recruitment Solutions,"2,625.00",HRA Accountancy,Agency Staff,20/05/2025,202502,SML,Y,50%
21020531,Serco Ltd,"10,103.72",Joint Waste Contract,Vehicle & Plant Fuel,14/05/2025,202502,LRG,Y,50%
21020532,Gipping Occupational Health Ltd,743.00,Health and Safety,Contracted Services,16/05/2025,202502,SML,Y,50%
21020533,SEFE Energy Ltd,"5,960.68",Sheltered Accommodation,Gas,15/05/2025,202502,LRG,N,
21020533,SEFE Energy Ltd,182.14,Temporary Accommodation,Gas,15/05/2025,202502,LRG,N,
21020534,SEFE Energy Ltd,233.10,Creeting Road Depot,Gas,15/05/2025,202502,LRG,Y,50%
21020534,SEFE Energy Ltd,28.84,Headquarters General,Gas,15/05/2025,202502,LRG,N,
21020534,SEFE Energy Ltd,144.26,Other HRA Temp Accommodation,Gas,15/05/2025,202502,LRG,N,
21020534,SEFE Energy Ltd,170.47,Other Temporary Accommodation,Gas,15/05/2025,202502,LRG,N,
21020534,SEFE Energy Ltd,"8,922.29",Sheltered Accommodation,Gas,15/05/2025,202502,LRG,N,
21020534,SEFE Energy Ltd,491.63,Temporary Accommodation,Gas,15/05/2025,202502,LRG,N,
21020534,SEFE Energy Ltd,365.57,Tenancy Services,Gas,15/05/2025,202502,LRG,N,
21020540,E.On Next,"3,712.27",Tenancy Services,Electricity,09/05/2025,202502,LRG,N,
21020546,Translate Plus Ltd,"1,438.01",Afghan Resettlement Programme,"Grants, Contributions & Donations",21/05/2025,202502,LRG,N,
21020547,URBA,"2,750.00",Development Management,Consultancy Services,25/02/2025,202502,SML,N,
21020548,Park Avenue Recruitment Ltd,"1,825.00",Development Management,Consultancy Services,11/05/2025,202502,SML,N,
21020549,Park Avenue Recruitment Ltd,"1,725.00",Development Management,Consultancy Services,18/05/2025,202502,SML,N,
21020550,Smartsurvey Ltd,720.00,Regulatory and Support Services,Subscriptions (non staff),07/04/2025,202502,SML,Y,50%
21020555,APSE,"2,753.00","Strategic Policy, Performance and Insight",Subscriptions (non staff),01/04/2025,202502,LRG,Y,50%
21020556,Mixbrow Ltd,"9,184.16",Building Services Assets,Payments to Contractors,20/05/2025,202502,SML,N,
21020564,Metro Rod Ltd,"1,073.40",Trades Team,"Property Repairs, Maintenance & Alterations",21/05/2025,202502,SML,N,
21020567,NEC Software Solutions UK Ltd,999.60,Food and Safety (General),Software Licenses - Line of Business,20/05/2025,202502,LRG,Y,50%
21020567,NEC Software Solutions UK Ltd,"1,000.20",Environmental Protection,Software Licenses - Line of Business,20/05/2025,202502,LRG,Y,50%
21020567,NEC Software Solutions UK Ltd,"1,000.20",Licensing,Software Licenses - Line of Business,20/05/2025,202502,LRG,Y,50%
21020569,Aa Global Language Services Ltd,756.23,Tenants Forum,Other Supplies & Services,30/04/2025,202502,SML,Y,50%
21020571,West Suffolk Council,"18,133.40",Healthy Behaviours Partnership,Payments to Other Local Authorities,21/05/2025,202502,LRG,Y,50%
21020573,Hays Specialist Recruitment Ltd,"1,242.73",Tenants Forum,External Consultants,21/05/2025,202502,LRG,Y,50%
21020573,Hays Specialist Recruitment Ltd,"1,864.12",Asset Management,External Consultants,21/05/2025,202502,LRG,Y,50%
21020574,The Oyster Partnership Ltd,"2,235.10",Building Services Compliance,Agency Staff,21/05/2025,202502,SML,Y,52%
21020577,Ashford Wright Ltd,"19,431.06",Asset Management,Payments to Contractors,16/05/2025,202502,SML,N,
21020581,Totalmobile Ltd,"16,608.00",HRA ICT,Software Licenses - Line of Business,22/05/2025,202502,SML,Y,50%
21020584,Totalmobile Ltd,"35,568.00",HRA ICT,IT Software Purchase,22/05/2025,202502,SML,N,
21020585,T H Moss And Sons Ltd,"5,372.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21020587,Fellbridge Building Services,"1,597.91",Tenants Forum,Other Supplies & Services,22/05/2025,202502,SML,N,
21020590,Law Morgan Ltd T/A Morgan Law,"2,392.74",Financial Resources,Agency Staff,22/05/2025,202502,SML,Y,50%
21020592,Vodafone Corporate Ltd,"1,577.25",ICT,Telephones,23/04/2025,202502,LRG,N,
21020598,Newsquest Media Group,"1,181.44",Development Management,"Publicity, Advertising & Marketing",21/05/2025,202502,LRG,N,
21020599,Newsquest Media Group,817.92,Development Management,"Publicity, Advertising & Marketing",22/05/2025,202502,LRG,N,
21020601,Serco Ltd,"2,449.66",Joint Waste Contract,Vehicles & Plant Repairs,22/05/2025,202502,LRG,Y,50%
21020609,Reed Specialist Recruitment Ltd,960.15,Financial Resources,Agency Staff,23/05/2025,202502,LRG,Y,50%
21020610,Tile Hill Interim & Executive Ltd,"2,632.50",Financial Resources,Agency Staff,10/03/2025,202502,SML,Y,50%
21020612,Sureserve Compliance North,"5,555.00",Building Services Compliance,Contract: Heating,26/02/2025,202502,LRG,N,
21020614,L A C Cleaning Contractors Ltd,665.50,Other Temporary Accommodation,Contract Cleaning,23/05/2025,202502,SML,N,
21020616,Rapid Response Maintenance Ltd,948.22,Trades Team,"Property Repairs, Maintenance & Alterations",15/05/2025,202502,SML,N,
21020618,Suffolk Doors & Windows Ltd,"1,475.80",Building Services Assets,Payments to Contractors,16/05/2025,202502,SML,N,
21020621,Rapid Response Maintenance Ltd,"1,557.99",Trades Team,"Property Repairs, Maintenance & Alterations",19/05/2025,202502,SML,N,
21020626,Baily Garner LLP,"17,960.00",Building Services Assets,External Consultants,21/05/2025,202502,SML,Y,50%
21020627,Felgains Ltd,"8,697.36",Building Services Assets,Payments to Contractors,23/05/2025,202502,SML,N,
21020630,Suffolk County Council,"1,174.78",Homelessness Private Sector,Other Supplies & Services,22/05/2025,202502,LRG,Y,50%
21020631,T H Moss And Sons Ltd,"2,717.34",Trades Team,"Property Repairs, Maintenance & Alterations",23/05/2025,202502,SML,N,
21020633,D W Adams Ltd,"6,195.00",Building Services Assets,Payments to Contractors,23/05/2025,202502,SML,N,
21020634,D W Adams Ltd,"2,390.00",Building Services Assets,Payments to Contractors,23/05/2025,202502,SML,N,
21020636,Casanovas Recruitment Solutions Ltd,"1,110.00",Financial Resources,Agency Staff,20/05/2025,202502,SML,Y,50%
21020642,Kicks & Tricks Ltd,"1,416.00",Holiday Activity Fund,"Grants, Contributions & Donations",23/05/2025,202502,SML,Y,25.5%
21020647,Suffolk County Council,"14,022.76",Garden Waste,Waste disposal costs,14/05/2025,202502,LRG,N,
21020647,Suffolk County Council,"24,193.46",Domestic Waste,Waste disposal costs,14/05/2025,202502,LRG,N,
21020649,Private Landlord,575.00,Guaranteed Rent Scheme,Building Rents,27/05/2025,202502,STR,N,
21020650,Private Landlord,800.00,Guaranteed Rent Scheme,Building Rents,27/05/2025,202502,STR,N,
21020652,Idox Software Ltd,"36,737.79",ICT,IT Software Maintenance,23/05/2025,202502,SML,Y,50%
21020658,Monthind Clean Ltd,"1,687.00",Tenancy Services,Window Cleaning,24/05/2025,202502,LRG,N,
21020659,Precision Resource Group Ltd T/A Panoramic Associates,"3,500.00",Commissioning and Procurement,Agency Staff,23/05/2025,202502,LRG,Y,50%
21020661,S A L Building & Property Maintenance,"2,000.00",Borehamgate Shopping Centre,"Property Repairs, Maintenance & Alterations",24/05/2025,202502,SML,N,
21020662,S A L Building & Property Maintenance,900.00,Borehamgate Shopping Centre,"Property Repairs, Maintenance & Alterations",24/05/2025,202502,SML,N,
21020665,Zapcarbon Ltd,"7,470.00",Damp and Mould,Contract Cleaning,27/05/2025,202502,SML,N,
21020665,Zapcarbon Ltd,"5,625.00",Damp and Mould,Surveys,27/05/2025,202502,SML,N,
21020666,Zapcarbon Ltd,"5,310.00",Damp and Mould,Contract Cleaning,27/05/2025,202502,SML,N,
21020666,Zapcarbon Ltd,"4,950.00",Damp and Mould,Surveys,27/05/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,800.17,Building Services Compliance,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,48.01,Creeting Road Depot,Sampling & Analysis,30/04/2025,202502,SML,Y,50%
21020667,Sureserve Compliance Water Ltd,834.95,Leaseholders,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,48.00,Public Conveniences,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,"1,611.20",Sheltered Accommodation,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,465.20,Sheltered General Management,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,56.57,Tacon Close Eye Touch Down Point (TDP),Sampling & Analysis,30/04/2025,202502,SML,Y,50%
21020667,Sureserve Compliance Water Ltd,399.37,Temporary Accommodation,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,77.00,Tenancy Services,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,"1,001.39",Voids,Sampling & Analysis,30/04/2025,202502,SML,N,
21020667,Sureserve Compliance Water Ltd,48.00,Wingfield Barns,Sampling & Analysis,30/04/2025,202502,SML,N,
21020689,L A C Cleaning Contractors Ltd,912.16,Temporary Accommodation,Contract Cleaning,26/05/2025,202502,SML,N,
21020690,Suffolk Doors & Windows Ltd,"1,550.00",Trades Team,"Property Repairs, Maintenance & Alterations",27/05/2025,202502,SML,N,
21020693,Suffolk County Council,"71,791.81",Trade Waste,Waste disposal costs,23/05/2025,202502,LRG,N,
21020694,Suffolk County Council,538.52,ICT,IT Hardware Purchase,23/05/2025,202502,LRG,Y,50%
21020695,Suffolk County Council,"63,853.67",Trade Waste,Waste disposal costs,23/05/2025,202502,LRG,N,
21020701,Suffolk Doors & Windows Ltd,"7,460.00",Trades Team,"Property Repairs, Maintenance & Alterations",27/05/2025,202502,SML,N,
21020703,Suffolk Doors & Windows Ltd,"1,250.00",Building Services Assets,"Property Repairs, Maintenance & Alterations",27/05/2025,202502,SML,N,
21020704,Private Landlord,"1,000.00",Guaranteed Rent Scheme,Building Rents,27/05/2025,202502,SML,N,
21020715,Private Landlord,600.00,Guaranteed Rent Scheme,Building Rents,27/05/2025,202502,STR,N,
21020716,Paul Wright & Co,749.00,Guaranteed Rent Scheme,Building Rents,27/05/2025,202502,SML,N,
21020717,Huws Gray Ltd,597.56,Health & Safety and Fire PAC,"Purchase of Equipment, Tools & Materials",27/05/2025,202502,LRG,Y,50%
21020719,Bychoice Ltd,950.00,Guaranteed Rent Scheme,Building Rents,28/05/2025,202502,SML,N,
21020721,Suffolk Doors & Windows Ltd,"1,050.00",Building Services Assets,Payments to Contractors,27/05/2025,202502,SML,N,
21020723,Suffolk Doors & Windows Ltd,"2,340.00",Building Services Assets,"Property Repairs, Maintenance & Alterations",27/05/2025,202502,SML,N,
21020724,Suffolk Doors & Windows Ltd,990.00,Building Services Assets,Payments to Contractors,27/05/2025,202502,SML,N,
21020726,Aran Insulation Ltd,667.00,Trades Team,"Property Repairs, Maintenance & Alterations",27/05/2025,202502,SML,N,
21020739,Civica Election Services,"3,465.53",Elections,Council elections,31/03/2025,202502,LRG,N,
21020742,Wiles Property,900.00,Guaranteed Rent Scheme,Building Rents,28/05/2025,202502,SML,N,
21020745,Finch Futures Ltd,850.00,Homes for Ukraine,Building Rents,28/05/2025,202502,SML,N,
21020752,Lambert Smith Hampton Group Ltd,"1,360.00",Development Management,Consultancy Services,31/03/2025,202502,LRG,N,
21020753,Hays Specialist Recruitment Ltd,"1,242.74",Tenants Forum,External Consultants,27/05/2025,202502,LRG,Y,50%
21020753,Hays Specialist Recruitment Ltd,"1,864.12",Asset Management,External Consultants,27/05/2025,202502,LRG,Y,50%
21020754,Hays Specialist Recruitment Ltd,211.98,HRA Strategic Property,Agency Staff,27/05/2025,202502,LRG,Y,80%
21020754,Hays Specialist Recruitment Ltd,"1,907.82",Asset Utilisation,Agency Staff,27/05/2025,202502,LRG,Y,80%
21020759,Abovo Business Services Ltd,"7,614.59",HRA Accountancy,Consultancy Services,28/05/2025,202502,SML,Y,50%
21020767,Private Landlord,580.00,Guaranteed Rent Scheme,Building Rents,28/05/2025,202502,STR,N,
21020772,Marchdell Ltd,815.00,Guaranteed Rent Scheme,Building Rents,28/05/2025,202502,SML,N,
21020777,The Oyster Partnership Ltd,"2,216.20",Building Services Compliance,Agency Staff,28/05/2025,202502,SML,Y,52%
21020778,Serco Ltd,"29,135.51",Trade Waste,Refuse Contract,27/05/2025,202502,LRG,Y,55.5%
21020778,Serco Ltd,"111,641.00",Garden Waste,Refuse Contract,27/05/2025,202502,LRG,Y,47%
21020778,Serco Ltd,"419,014.49",Domestic Waste,Refuse Contract,27/05/2025,202502,LRG,Y,46%
21020779,Serco Ltd,"29,135.51",Trade Waste,Refuse Contract,27/05/2025,202502,LRG,Y,55.5%
21020779,Serco Ltd,"111,641.00",Garden Waste,Refuse Contract,27/05/2025,202502,LRG,Y,47%
21020779,Serco Ltd,"419,014.49",Domestic Waste,Refuse Contract,27/05/2025,202502,LRG,Y,46%
21020781,Serco Ltd,"29,135.51",Trade Waste,Refuse Contract,27/05/2025,202502,LRG,Y,55.5%
